股票代码,股票名称,综合诊断评分,打败百分比(%),投资评级,短期趋势,中期趋势,长期趋势,技术面评分,资金面评分,消息面评分,行业面评分,基本面评分
601336,新华保险,7.2,100,买入,该股进入多头行情中，股价短线上涨概率较大。,上涨趋势有所减缓，可适量高抛低吸。,已有101家主力机构披露2026-06-30报告期持股数据，持仓量总计3804.87万股，占流通A股1.82%,7.8,5.4,8.4,7.8,6.9
600028,中国石化,7.1,99,买入,短期的强势行情可能结束，投资者及时短线卖出、离场观望为宜。,正处于反弹阶段。,已有72家主力机构披露2026-06-30报告期持股数据，持仓量总计857.67亿股，占流通A股90.52%,7.3,6.8,7.4,7.8,6.7
601318,中国平安,7.1,99,买入,强势上涨过程中，可逢低买进，暂不考虑做空。,正处于反弹阶段。,已有691家主力机构披露2026-06-30报告期持股数据，持仓量总计35.17亿股，占流通A股32.99%,7.2,7.3,7.4,7.8,6.3
601398,工商银行,7.1,99,买入,强势上涨过程中，可逢低买进，暂不考虑做空。,有加速上涨趋势。,已有239家主力机构披露2026-06-30报告期持股数据，持仓量总计6.37亿股，占流通A股0.24%,8.4,6.2,5.5,7.8,6.9
600919,江苏银行,7.0,99,买入,股价的强势特征已经确立，短线可能回调。,有加速上涨趋势。,已有232家主力机构披露2026-06-30报告期持股数据，持仓量总计80.09亿股，占流通A股43.64%,8.2,6.4,6.5,4.3,7.5
601169,北京银行,7.0,99,买入,强势上涨过程中，可逢低买进，暂不考虑做空。,有加速上涨趋势。,已有13家主力机构披露2026-06-30报告期持股数据，持仓量总计2029.92万股，占流通A股0.10%,8.2,6.7,5.5,7.8,6.3
688036,传音控股（688036）,7.0,99,买入,前期的强势行情已经结束，投资者及时卖出股票为为宜。,上涨趋势有所减缓，可适量高抛低吸。,已有61家主力机构披露2026-06-30报告期持股数据，持仓量总计7.89亿股，占流通A股68.55%,7.8,7.2,7.7,2.8,7.0
600039,四川路桥,6.9,99,增持,强势上涨过程中，可逢低买进，暂不考虑做空。,上涨趋势有所减缓，可适量高抛低吸。,已有5家主力机构披露2026-06-30报告期持股数据，持仓量总计227.77万股，占流通A股0.03%,8.6,5.6,5.5,7.2,6.7
002241,歌尔股份,6.8,99,增持,强势上涨过程中，可逢低买进，暂不考虑做空。,已发现中线买入信号。,已有27家主力机构披露2026-06-30报告期持股数据，持仓量总计7.33亿股，占流通A股23.32%,8.2,5.1,6,6.7,6.9
002415,海康威视,6.8,99,增持,弱势下跌过程中，可逢高卖出，暂不考虑买进。,上涨趋势有所减缓，可适量高抛低吸。,已有285家主力机构披露2026-06-30报告期持股数据，持仓量总计51.05亿股，占流通A股56.43%,7.0,5.9,6.9,6.5,7.4
600018,上港集团,6.8,99,增持,强势上涨过程中，可逢低买进，暂不考虑做空。,有加速上涨趋势。,已有6家主力机构披露2026-06-30报告期持股数据，持仓量总计340.90万股，占流通A股0.01%,8.2,6.4,6.3,6.8,5.7
601088,中国神华,6.8,99,增持,强势上涨过程中，可逢低买进，暂不考虑做空。,正处于反弹阶段。,已有167家主力机构披露2026-06-30报告期持股数据，持仓量总计1.28亿股，占流通A股0.78%,6.4,6.9,6.6,7.9,6.7
601898,中煤能源（601898）,6.8,99,增持,短期的强势行情可能结束，投资者及时短线卖出、离场观望为宜。,正处于反弹阶段。,已有61家主力机构披露2026-06-30报告期持股数据，持仓量总计81.79亿股，占流通A股89.37%,6.9,6.4,7.4,7.9,6.1
